iter	Logloss
0	0.6917546678
1	0.6909413938
2	0.6895534102
3	0.688583492
4	0.6878576419
5	0.6870417967
6	0.6862701734
7	0.6857066583
8	0.6850590368
9	0.6845653878
10	0.6840140989
11	0.6833496901
12	0.6829703213
13	0.682614785
14	0.6821880304
15	0.6818042215
16	0.6813952217
17	0.6810648346
18	0.680755255
19	0.680266229
20	0.6799343058
21	0.679739791
22	0.679313692
23	0.6790387726
24	0.6788016319
25	0.6785357999
26	0.6783863975
27	0.6781328083
28	0.6780031694
29	0.677900933
30	0.6776110945
31	0.6773701375
32	0.6771084194
33	0.676687319
34	0.6764647586
35	0.6763035386
36	0.6760819937
37	0.6759616307
38	0.6758751846
39	0.6757407534
40	0.6756264102
41	0.6752607982
42	0.6752019004
43	0.674996098
44	0.6748720802
45	0.6747690889
46	0.6745960511
47	0.6744192538
48	0.6743007127
49	0.6741684239
50	0.6740450931
51	0.6739107763
52	0.6737955396
53	0.673690067
54	0.6736217374
55	0.6735836843
56	0.673461245
57	0.673367823
58	0.6732436305
59	0.6731482239
60	0.6730100644
61	0.6729224431
62	0.6726116441
63	0.6723839398
64	0.672312197
65	0.672219081
66	0.672147914
67	0.6720741457
68	0.6719903986
69	0.6718605526
70	0.67176349
71	0.6714719018
72	0.6713981359
73	0.6712653166
74	0.6711286752
75	0.6710319227
76	0.6708865307
77	0.6707780612
78	0.6706971902
79	0.6706214569
80	0.6704777337
81	0.6703873903
82	0.6703037206
83	0.6702328238
84	0.6701619558
85	0.6701096516
86	0.6700290198
87	0.6699261397
88	0.6698645359
89	0.6697974916
90	0.6696889639
91	0.6695939443
92	0.6695045869
93	0.6694364977
94	0.6693262398
95	0.6692493156
96	0.6690737806
97	0.6690045951
98	0.6689586623
99	0.6688586126
100	0.6688286003
101	0.6686967592
102	0.6686193913
103	0.6685116001
104	0.6684401397
105	0.6683698151
106	0.6682334904
107	0.6681771742
108	0.6680602851
109	0.6679551984
110	0.6678902957
111	0.6678215874
112	0.667747558
113	0.6676281624
114	0.6675980833
115	0.6675283145
116	0.6674680698
117	0.6673778785
118	0.6673321439
119	0.6672821633
120	0.6672240383
121	0.6671624567
122	0.6670407662
123	0.6668941158
124	0.6668115299
125	0.6667462877
126	0.6666985235
127	0.6666148664
128	0.666300849
129	0.6662321233
130	0.6661643787
131	0.6660142225
132	0.6659514011
133	0.6658911419
134	0.6658179593
135	0.6657552958
136	0.6656534948
137	0.665607657
138	0.665560668
139	0.6655103301
140	0.6654680572
141	0.6654344139
142	0.665385072
143	0.6652683992
144	0.6652069209
145	0.6651630377
146	0.6650537529
147	0.6649939015
148	0.6649186448
149	0.6648718027
150	0.6647654739
151	0.6647017711
152	0.6646476892
153	0.6645857698
154	0.6644839682
155	0.664427372
156	0.6643579292
157	0.6642858282
158	0.6642444993
159	0.6641754794
160	0.664129586
161	0.6640877171
162	0.6640511209
163	0.6638139351
164	0.6637617288
165	0.6637007604
166	0.6635605062
167	0.6634645852
168	0.6633738693
169	0.6633117646
170	0.6632555983
171	0.6631509896
172	0.6630066229
173	0.6629463328
174	0.6628849859
175	0.6627842358
176	0.6627310679
177	0.6626322009
178	0.6625763968
179	0.6624553078
180	0.6623918287
181	0.6620681537
182	0.6620029807
183	0.6618915326
184	0.6618069239
185	0.6616788831
186	0.661583367
187	0.661527383
188	0.6614819798
189	0.6614175392
190	0.6613616282
191	0.6612849979
192	0.6612056595
193	0.6611356204
194	0.6610476156
195	0.6610091894
196	0.6609444677
197	0.6607958926
198	0.6607039588
199	0.6606342852
200	0.6605422814
201	0.6604611882
202	0.6603666645
203	0.6602744394
204	0.6601714253
205	0.6600904836
206	0.6599904571
207	0.6599040825
208	0.6597849274
209	0.6597019122
210	0.6596355042
211	0.6595584857
212	0.6594289148
213	0.659359799
214	0.6592849006
215	0.659103609
216	0.6589936781
217	0.6589093046
218	0.6588356159
219	0.6586953774
220	0.6585638452
221	0.658447892
222	0.6583433633
223	0.6582414496
224	0.6581232695
225	0.657996285
226	0.6578850435
227	0.6577880786
228	0.6576905648
229	0.6574965364
230	0.6574058265
231	0.6572641873
232	0.6571310155
233	0.6570365986
234	0.6567948875
235	0.6567137711
236	0.6566039989
237	0.6564329289
238	0.6563140793
239	0.6561493648
240	0.6560301566
241	0.6559185717
242	0.6557896063
243	0.6557184165
244	0.6556100103
245	0.6553956266
246	0.6551382639
247	0.6550209222
248	0.6548194573
249	0.6546918617
250	0.6545147429
251	0.6543725175
252	0.6542289455
253	0.6541317512
254	0.6540232271
255	0.6539325755
256	0.6538464906
257	0.6537508776
258	0.6536722622
259	0.6535290729
260	0.6534092591
261	0.6530341038
262	0.6528997884
263	0.652812493
264	0.6527092305
265	0.6525664329
266	0.6524725753
267	0.6523252309
268	0.6522490778
269	0.6521228865
270	0.6520286804
271	0.6519303356
272	0.6518334765
273	0.6517585857
274	0.6514136329
275	0.6512433778
276	0.6511433104
277	0.6510162737
278	0.650914116
279	0.6507019121
280	0.6505957389
281	0.6504355271
282	0.6503434159
283	0.6501705973
284	0.6500084867
285	0.6498499751
286	0.6497810536
287	0.6496705049
288	0.649519258
289	0.6494048093
290	0.6492597461
291	0.649153948
292	0.6490252752
293	0.648949488
294	0.6488132188
295	0.6487274169
296	0.6485691514
297	0.6484512605
298	0.6483512437
299	0.6481198289
