iter	Passed	Remaining
0	481	143861
1	1000	149102
2	1395	138165
3	1952	144519
4	2408	142091
5	2915	142849
6	3352	140342
7	3752	136963
8	4208	136070
9	4688	135964
10	5066	133104
11	5520	132503
12	5892	130079
13	6533	133477
14	6868	130502
15	7276	129156
16	7714	128431
17	8156	127790
18	8696	128610
19	9120	127683
20	9511	126363
21	9906	125185
22	10361	124789
23	10854	124825
24	11335	124694
25	11744	123766
26	12139	122741
27	12526	121682
28	12985	121351
29	13422	120799
30	13953	121076
31	14428	120838
32	14800	119748
33	15213	119022
34	15636	118394
35	16039	117626
36	16402	116592
37	16868	116303
38	17263	115529
39	17746	115349
40	18159	114714
41	18523	113784
42	18890	112906
43	19347	112566
44	19683	111541
45	20155	111295
46	20539	110561
47	21038	110453
48	21430	109774
49	21847	109238
50	22238	108577
51	22650	108023
52	23100	107659
53	23610	107558
54	23999	106905
55	24469	106615
56	24906	106180
57	25309	105599
58	25819	105466
59	26243	104975
60	26644	104395
61	27054	103854
62	27499	103451
63	27955	103087
64	28362	102543
65	28814	102159
66	29404	102258
67	29870	101911
68	30206	101125
69	30596	100531
70	30941	99798
71	31339	99242
72	31702	98580
73	32172	98257
74	32631	97895
75	33075	97485
76	33570	97223
77	34062	96946
78	34523	96578
79	34946	96102
80	35330	95522
81	35782	95128
82	36171	94567
83	36641	94221
84	37066	93755
85	37582	93520
86	38164	93438
87	38578	92939
88	38997	92454
89	39425	91993
90	39831	91480
91	40284	91077
92	40759	90722
93	41100	90071
94	41506	89565
95	42026	89306
96	42357	88645
97	42736	88090
98	43152	87612
99	43556	87113
100	43936	86567
101	44363	86117
102	44845	85772
103	45261	85301
104	45793	85044
105	46291	84722
106	46932	84653
107	47372	84218
108	47784	83732
109	48208	83268
110	48628	82799
111	49044	82324
112	49511	81935
113	49987	81557
114	50753	81647
115	51186	81192
116	51822	81055
117	52303	80671
118	52701	80159
119	53129	79694
120	53574	79255
121	53942	78703
122	54335	78189
123	54718	77664
124	55061	77085
125	55405	76512
126	55895	76141
127	56447	75850
128	56812	75309
129	57275	74899
130	57754	74508
131	58143	74001
132	58583	73559
133	59019	73114
134	59534	72764
135	59981	72330
136	60509	71993
137	60938	71536
138	61328	71034
139	61712	70528
140	62108	70037
141	62558	69607
142	63069	69244
143	63497	68788
144	63878	68283
145	64347	67873
146	64775	67418
147	65167	66928
148	65614	66495
149	66029	66029
150	66534	65653
151	66957	65195
152	67389	64746
153	67776	64255
154	68225	63823
155	68640	63360
156	69054	62896
157	69547	62504
158	70061	62130
159	70460	61652
160	70860	61177
161	71439	60855
162	72041	60550
163	72629	60229
164	73069	59784
165	73432	59276
166	73779	58758
167	74111	58230
168	74621	57842
169	75027	57374
170	75516	56968
171	76077	56615
172	76599	56232
173	77236	55930
174	77602	55430
175	78209	55101
176	78652	54657
177	79101	54215
178	79699	53875
179	80202	53468
180	80676	53041
181	81155	52617
182	81695	52231
183	82137	51782
184	82608	51351
185	83127	50948
186	83689	50571
187	84250	50191
188	84689	49738
189	85272	49368
190	85767	48945
191	86219	48498
192	86645	48036
193	87082	47581
194	87486	47108
195	87933	46658
196	88354	46195
197	88802	45746
198	89255	45300
199	89698	44849
200	90104	44379
201	90530	43920
202	90941	43454
203	91335	42981
204	91836	42558
205	92275	42106
206	92715	41654
207	93105	41181
208	93509	40714
209	93998	40284
210	94427	39829
211	94845	39369
212	95245	38903
213	95681	38451
214	96122	38002
215	96549	37547
216	97106	37142
217	97530	36685
218	97985	36241
219	98526	35827
220	98906	35355
221	99275	34880
222	99657	34410
223	100021	33935
224	100440	33480
225	101001	33071
226	101636	32684
227	102109	32244
228	102535	31790
229	102985	31343
230	103393	30883
231	103813	30428
232	104382	30015
233	104878	29581
234	105393	29151
235	106010	28748
236	106319	28262
237	106795	27820
238	107281	27381
239	107680	26920
240	108220	26493
241	108686	26048
242	109290	25635
243	109693	25175
244	110158	24729
245	110617	24281
246	111161	23852
247	111559	23391
248	112129	22966
249	112530	22506
250	112927	22045
251	113268	21574
252	113601	21103
253	114059	20656
254	114469	20200
255	114913	19750
256	115388	19306
257	115855	18860
258	116314	18412
259	116737	17959
260	117129	17502
261	117587	17054
262	118040	16606
263	118551	16166
264	118964	15712
265	119339	15253
266	119771	14803
267	120284	14362
268	120818	13923
269	121277	13475
270	121730	13026
271	122270	12586
272	122702	12135
273	123193	11689
274	123695	11245
275	124161	10796
276	124693	10353
277	125151	9904
278	125575	9451
279	126021	9001
280	126438	8549
281	126882	8098
282	127378	7651
283	127968	7209
284	128459	6761
285	128847	6307
286	129292	5856
287	129766	5406
288	130158	4954
289	130619	4504
290	131062	4053
291	131489	3602
292	131923	3151
293	132345	2700
294	132722	2249
295	133105	1798
296	133605	1349
297	133988	899
298	134475	449
299	134883	0
