user_id,avg_score
0,0.007
1,0.526
2,0.026
3,0.008
4,0.0275
5,0.1135
6,0.0045
7,0.0075
8,0.0145
9,0.181
10,0.3
11,0.013
12,0.0125
13,0.015
14,0.149
15,0.021
16,0.022
17,0.0045
18,0.006
19,0.017
20,0.017
21,0.1175
22,0.0125
23,0.014
24,0.0165
25,0.0145
26,0.654
27,0.009
28,0.1055
29,0.0055
30,0.087
31,0.014
32,0.395
33,0.011
34,0.1265
35,0.0465
36,0.0165
37,0.0115
38,0.019
39,0.015
40,0.455
41,0.0085
42,1.0
43,0.009
44,0.4375
45,0.018
46,0.0305
47,0.005
48,0.0125
49,0.005
50,0.149
51,0.018
52,0.902
53,0.0885
54,0.0375
55,0.01
56,0.335
57,0.0035
58,0.012
59,0.258
60,0.137
61,0.022
62,0.011
63,0.0125
64,0.047
65,0.0085
66,0.045
67,0.0155
68,0.099
69,0.0065
70,0.0185
71,0.041
72,0.013
73,0.217
74,0.0115
75,0.031
76,0.011
77,0.047
78,0.2905
79,0.0125
80,1.0
81,0.135
82,0.0515
83,0.135
84,0.19
85,0.01
86,0.033
87,0.057
88,0.13
89,0.0065
90,0.2215
91,0.368
92,0.015
93,0.207
94,0.008
95,0.0655
96,0.1895
97,0.0715
98,0.0705
99,0.0075
100,0.135
101,0.0065
102,0.0195
103,0.004
104,0.009
105,0.1035
106,0.0125
107,0.0665
108,0.006
109,0.037
110,0.0215
111,0.0185
112,0.0175
113,0.012
114,0.0045
115,0.0715
116,0.0025
117,0.0465
118,0.006
119,0.017
120,0.014
121,0.0855
122,0.0485
123,0.1005
124,0.7335
125,0.005
126,0.0605
127,0.008
128,0.621
129,0.0175
130,0.181
131,0.009
132,0.85
133,0.0095
134,0.0725
135,0.004
136,0.028
137,0.015
138,0.007
139,0.0045
140,0.0175
141,0.0175
142,0.0085
143,0.008
144,0.167
145,0.2495
146,0.18
147,0.0115
148,0.022
149,0.4055
150,0.004
151,0.029
152,0.012
153,0.009
154,0.004
155,0.101
156,0.009
157,0.0035
158,0.0105
159,0.0055
160,0.0115
161,0.086
162,0.0475
163,0.008
164,0.0175
165,0.0175
166,0.1605
167,0.073
168,0.0105
169,0.0245
170,0.011
171,0.006
172,0.3515
173,0.014
