user_id,avg_score
0,0.011
1,0.706
2,0.0435
3,0.02
4,0.018
5,0.1095
6,0.0145
7,0.0095
8,0.014
9,0.235
10,0.38
11,0.0165
12,0.0045
13,0.0135
14,0.172
15,0.005
16,0.0175
17,0.0045
18,0.0025
19,0.0095
20,0.005
21,0.126
22,0.013
23,0.025
24,0.0135
25,0.013
26,0.861
27,0.0115
28,0.064
29,0.0025
30,0.15
31,0.0185
32,0.5365
33,0.0075
34,0.1795
35,0.049
36,0.0245
37,0.0065
38,0.0245
39,0.005
40,0.6805
41,0.004
42,1.0
43,0.017
44,0.6545
45,0.029
46,0.0225
47,0.0055
48,0.008
49,0.0025
50,0.202
51,0.0075
52,1.0
53,0.1195
54,0.0805
55,0.0205
56,0.45
57,0.0025
58,0.023
59,0.4265
60,0.125
61,0.01
62,0.0265
63,0.0285
64,0.035
65,0.0065
66,0.069
67,0.0095
68,0.113
69,0.017
70,0.0145
71,0.0455
72,0.0425
73,0.3255
74,0.024
75,0.031
76,0.023
77,0.0205
78,0.3805
79,0.014
80,1.0
81,0.2025
82,0.092
83,0.145
84,0.235
85,0.005
86,0.013
87,0.017
88,0.1425
89,0.0025
90,0.034
91,0.4295
92,0.0195
93,0.262
94,0.008
95,0.061
96,0.259
97,0.0685
98,0.0775
99,0.005
100,0.1765
101,0.0025
102,0.0325
103,0.0045
104,0.0325
105,0.1855
106,0.0235
107,0.0635
108,0.0065
109,0.0825
110,0.023
111,0.0145
112,0.014
113,0.0115
114,0.005
115,0.1465
116,0.0045
117,0.106
118,0.015
119,0.011
120,0.008
121,0.063
122,0.0545
123,0.1235
124,0.8665
125,0.0055
126,0.0245
127,0.0145
128,0.798
129,0.012
130,0.2095
131,0.007
132,1.0
133,0.007
134,0.097
135,0.0045
136,0.0475
137,0.016
138,0.0095
139,0.0115
140,0.1085
141,0.0545
142,0.011
143,0.013
144,0.277
145,0.38
146,0.2535
147,0.0055
148,0.2275
149,0.5695
150,0.0065
151,0.0125
152,0.014
153,0.0065
154,0.005
155,0.1025
156,0.015
157,0.004
158,0.006
159,0.0055
160,0.008
161,0.0915
162,0.0295
163,0.0105
164,0.023
165,0.019
166,0.203
167,0.091
168,0.017
169,0.02
170,0.0225
171,0.039
172,0.4195
173,0.0175
174,0.1055
175,1.0
176,0.0105
177,0.7155
178,0.0065
179,0.0735
180,0.069
181,0.041
182,0.0815
183,0.0415
184,0.0195
185,0.027
186,0.0155
187,0.0885
188,0.0385
189,0.05
190,0.06
191,0.097
192,0.0165
193,0.0075
194,0.412
195,0.074
196,1.0
197,0.1955
198,0.216
199,0.0025
200,0.171
201,0.017
202,0.013
203,0.008
204,0.091
205,0.051
206,0.01
207,0.0035
208,0.005
209,0.2605
210,0.0185
211,0.005
212,0.039
213,0.014
214,0.457
215,0.006
216,1.0
217,0.014
218,0.015
219,0.615
220,0.0065
221,0.0185
222,0.5145
223,0.0255
224,0.0305
225,0.036
226,0.0925
227,0.0165
228,0.0085
229,0.012
230,0.0505
231,0.004
232,0.0215
233,0.636
234,0.013
235,0.0265
236,0.041
237,0.121
238,0.006
239,0.037
240,0.048
241,0.018
242,0.2515
243,0.0075
244,0.023
245,0.0085
246,0.0055
247,0.0775
248,0.0045
249,0.606
250,0.291
251,0.023
