user_id,avg_score
0,0.015
1,0.7635
2,0.008
3,0.0245
4,0.013
5,0.1465
6,0.01
7,0.019
8,0.014
9,0.2405
10,0.3885
11,0.0155
12,0.0135
13,0.0125
14,0.17
15,0.014
16,0.0325
17,0.0045
18,0.0125
19,0.035
20,0.005
21,0.0785
22,0.011
23,0.0405
24,0.0195
25,0.0275
26,0.8675
27,0.0045
28,0.028
29,0.0025
30,0.117
31,0.009
32,0.5155
33,0.0085
34,0.175
35,0.051
36,0.0075
37,0.011
38,0.0515
39,0.0075
40,0.6145
41,0.007
42,1.0
43,0.0075
44,0.6
45,0.019
46,0.0395
47,0.0045
48,0.0105
49,0.004
50,0.0885
51,0.011
52,1.0
53,0.1045
54,0.0225
55,0.0145
56,0.4535
57,0.0055
58,0.015
59,0.3595
60,0.024
61,0.0245
62,0.011
63,0.015
64,0.033
65,0.006
66,0.0635
67,0.0105
68,0.089
69,0.0165
70,0.0125
71,0.045
72,0.0275
73,0.259
74,0.0245
75,0.0505
76,0.0115
77,0.0475
78,0.373
79,0.0095
80,1.0
81,0.1725
82,0.0815
83,0.1765
84,0.254
85,0.0045
86,0.0405
87,0.0245
88,0.139
89,0.005
90,0.239
91,0.247
92,0.0105
93,0.293
94,0.0085
95,0.1
96,0.2315
97,0.074
98,0.0485
99,0.005
100,0.1705
101,0.009
102,0.0175
103,0.007
104,0.005
105,0.1755
106,0.047
107,0.0815
108,0.006
109,0.0655
110,0.014
111,0.0175
112,0.0135
113,0.016
114,0.0155
115,0.2
116,0.0045
117,0.0305
118,0.01
119,0.022
120,0.041
121,0.1125
122,0.0535
123,0.124
124,1.0
125,0.0045
126,0.1305
127,0.008
128,0.7735
129,0.014
130,0.222
131,0.005
132,1.0
133,0.013
134,0.1355
135,0.006
136,0.0085
137,0.0045
138,0.0095
139,0.0065
140,0.0785
141,0.0245
142,0.011
143,0.018
144,0.25
145,0.2915
146,0.317
147,0.0095
148,0.2085
149,0.523
150,0.0075
151,0.012
152,0.04
153,0.007
154,0.004
155,0.0915
156,0.0115
157,0.0095
158,0.047
159,0.005
160,0.008
161,0.0805
162,0.0555
163,0.022
164,0.0375
165,0.0245
166,0.199
167,0.097
168,0.029
169,0.1265
170,0.015
171,0.0315
172,0.424
173,0.016
174,0.109
175,1.0
176,0.009
177,0.938
178,0.0095
179,0.063
180,0.0475
181,0.035
182,0.0795
183,0.013
184,0.012
185,0.0205
186,0.0145
187,0.1255
188,0.0315
189,0.0675
190,0.018
191,0.079
192,0.0105
193,0.0125
194,0.4935
195,0.0935
196,1.0
197,0.172
198,0.2355
199,0.004
200,0.211
201,0.02
202,0.006
203,0.0065
204,0.059
205,0.005
206,0.01
207,0.004
208,0.0045
209,0.3995
210,0.016
211,0.0065
212,0.058
213,0.007
214,0.456
215,0.005
216,1.0
217,0.0155
218,0.0245
219,0.5685
220,0.005
221,0.0635
222,0.549
223,0.058
224,0.0185
225,0.039
226,0.0715
227,0.0125
228,0.022
229,0.0085
230,0.075
231,0.005
232,0.0175
233,0.6815
234,0.0045
235,0.0215
236,0.006
237,0.0955
238,0.0095
239,0.0585
240,0.0385
241,0.011
242,0.328
243,0.017
244,0.0295
245,0.009
246,0.018
247,0.037
248,0.0075
249,0.6035
250,0.2545
251,0.0185
252,0.02
253,0.027
254,0.019
255,0.007
256,0.047
257,0.401
258,0.02
259,0.0055
260,0.0285
261,0.006
262,0.087
263,0.01
264,0.005
265,0.0165
266,0.0675
267,0.039
268,0.014
269,0.188
270,0.0045
271,0.639
272,0.059
273,0.017
274,0.02
275,0.029
276,0.501
277,0.992
278,0.008
279,0.1765
280,0.044
281,0.035
282,0.018
283,0.0125
284,0.114
285,0.172
286,0.0035
287,1.0
288,0.2445
289,0.0085
290,0.146
291,0.0235
292,0.0865
293,0.608
294,0.143
295,0.075
296,0.005
297,0.0415
298,0.0055
299,0.0305
300,0.0675
301,0.029
302,0.0445
303,0.0095
304,0.1095
305,0.016
306,0.016
307,0.021
308,0.013
309,0.211
310,0.0215
311,0.0155
312,0.0125
313,0.068
314,0.0045
315,0.5135
316,0.021
317,0.0115
318,0.007
319,0.212
320,0.004
321,0.01
322,0.008
323,0.0065
324,0.115
325,1.0
326,0.045
327,0.0125
328,1.0
329,1.0
330,0.0095
331,0.0885
332,1.0
333,0.0145
334,0.125
335,0.187
336,0.0145
337,0.0175
338,0.011
339,0.0415
340,0.182
341,0.005
342,0.506
343,0.01
344,0.047
345,0.1435
346,0.0065
347,1.0
348,0.0045
349,0.016
350,0.021
